
EUR,1,1.95560,1.95597,48.29,50.07,1 066 193 792,1 105 255 107,1.95560,1.95597
HUF,1000,,5.30373,0.00,0.01,,43 586 480,,2.04289
USD,1,1.78603,1.80613,0.50,0.80,12 040 548,19 107 270,1.94553,1.96732
JPY,100,1.19220,1.24815,0.00,0.00,10 000,12 841 669,1.91717,2.00714
PLN,10,4.25164,4.54353,0.00,0.05,14 890,4 404 601,1.86073,1.98848
DKK,10,2.55026,2.63826,0.00,0.01,9 200,2 154 505,1.90148,1.96709
CNY,10,,2.51112,0.00,0.00,,856 021,,1.96101
CHF,1,2.05210,2.09398,0.01,0.02,146 257,513 525,1.93301,1.97296
GBP,1,2.28064,2.31474,0.14,0.02,2 587 407,443 376,1.95082,1.97994
SEK,10,1.68641,1.74368,0.00,0.00,271 326,418 127,1.91407,1.97906
TRY,100,5.62695,6.30900,0.00,0.00,7 030,362 822,1.85629,2.08035
CAD,1,1.30660,1.35499,0.00,0.01,160 769,330 926,1.92237,1.99074
CZK,100,7.53064,8.21646,0.00,0.00,22 000,241 085,1.86428,2.03407
RON,10,3.91389,4.08971,0.05,0.00,5 844 955,53 523,1.94786,2.03537
AUD,1,1.18690,1.22401,0.00,0.00,61 590,15 008,1.96278,2.02414
NOK,10,1.66165,1.75310,0.01,0.00,2 113 643,3 993,1.89270,1.99687
